wave,degradation,level,parameter,post_mean,post_sd,ci_lo,ci_hi,ci_width,base_mean,base_ci_lo,base_ci_hi,base_width,mean_shift,mean_shift_pct,ci_width_ratio,coverage,level_num
wave1,Systematic,0.1,Beta1,0.5214401152136775,0.03296395124746276,0.4634219686214296,0.5959090312257607,0.13248706260433107,0.5284160492618926,0.4644648452778266,0.6017606198665374,0.13729577458871078,-0.00697593404821506,-1.3201593816007773,0.9649755282070049,TRUE,0.1
wave1,Systematic,0.1,Beta2,0.13708624040269016,0.007042502496010621,0.12413954803114129,0.15086148620506368,0.02672193817392239,0.13705098035032395,0.12405495081983131,0.15223970827148692,0.028184757451655607,3.526005236620389e-5,0.025727690729445075,0.9480989226094161,TRUE,0.1
wave1,Systematic,0.1,Beta3,0.1703698716554531,0.006163079777741935,0.1582878049720182,0.18235658777048883,0.024068782798470634,0.17065699047510807,0.15801457627129864,0.18408432091368088,0.026069744642382237,-2.8711881965498565e-4,-0.16824322218248927,0.9232458211094792,TRUE,0.1
wave1,Systematic,0.1,rho_y,0.0685880789090514,0.01245815083025438,0.04662918120644167,0.09691856903847026,0.0502893878320286,0.07300834689715849,0.04942372231657174,0.10287482181252733,0.05345109949595559,-0.004420267988107088,-6.054469353118755,0.9408485196049854,TRUE,0.1
wave1,Systematic,0.1,rho_o,0.3370443247423768,0.06278438817529881,0.22614631062925275,0.47454678775191195,0.2484004771226592,0.35791185228124206,0.2387890706220669,0.503270871055416,0.2644818004333491,-0.020867527538865283,-5.830353872290285,0.9391968623763868,TRUE,0.1
wave1,Systematic,0.3,Beta1,0.5113581612334255,0.03398161751493795,0.44841380907457257,0.5834315328890732,0.13501772381450067,0.5284160492618926,0.4644648452778266,0.6017606198665374,0.13729577458871078,-0.017057888028467083,-3.228116945405813,0.9834077138860657,TRUE,0.3
wave1,Systematic,0.3,Beta2,0.13762789553269272,0.007240758778455,0.12369142359278991,0.15160411887156475,0.027912695278774838,0.13705098035032395,0.12405495081983131,0.15223970827148692,0.028184757451655607,5.769151823687702e-4,0.42094932914312894,0.9903471877184883,TRUE,0.3
wave1,Systematic,0.3,Beta3,0.16969207298672145,0.006526696587078572,0.15676036400853183,0.1828369807805528,0.026076616772020972,0.17065699047510807,0.15801457627129864,0.18408432091368088,0.026069744642382237,-9.649174883866185e-4,-0.5654133977754405,1.0002636055601237,TRUE,0.3
wave1,Systematic,0.3,rho_y,0.05691599129741738,0.01165357663634429,0.038143413042774306,0.08487903946531077,0.04673562642253646,0.07300834689715849,0.04942372231657174,0.10287482181252733,0.05345109949595559,-0.016092355599741107,-22.041802456381088,0.8743623024269639,TRUE,0.3
wave1,Systematic,0.3,rho_o,0.2810367726513644,0.05663160158772797,0.18923124977782227,0.41115612377424965,0.22192487399642738,0.35791185228124206,0.2387890706220669,0.503270871055416,0.2644818004333491,-0.07687507962987766,-21.47877449151092,0.8390931762896618,TRUE,0.3
