week,reports_young,reports_old
1,7681,1169
2,11057,1800
3,14223,2627
4,22191,4775
5,28574,6755
6,34482,8264
7,34818,9362
8,26367,7665
9,20581,5890
10,20356,5592
11,19347,4867
12,19725,4933
13,28422,7190
14,38868,10499
15,41645,12204
16,31664,10315
17,27835,8983
18,22338,7207
19,19741,6359
