week,reports_young,reports_old
1,299,174
2,746,660
3,1989,2288
4,2472,3244
5,2763,3384
6,3240,3024
7,3015,2635
8,2145,2025
9,1290,1187
10,906,863
11,679,589
12,597,447
13,824,338
14,727,220
15,698,206
16,686,135
17,404,81
18,390,68
19,343,61
