week,reports_young,reports_old
1,9340,3010
2,9751,2854
3,12453,3244
4,12557,2920
5,14287,2773
6,17748,3375
7,20480,3824
8,21449,3861
9,20044,3588
10,22146,3988
11,23973,3927
12,22761,3716
13,22205,3228
14,18789,2637
15,13924,1735
16,10324,1044
17,8646,724
18,5835,370
19,3746,230
20,2352,132
