week,reports_young,reports_old
1,16879,5389
2,17652,5203
3,22339,5706
4,22618,5282
5,25371,5063
6,31733,6103
7,36804,6856
8,38685,7121
9,35888,6472
10,39658,7137
11,43086,7119
12,40686,6663
13,39720,5821
14,34079,4754
15,25221,3161
16,18556,1856
17,15633,1316
18,10473,689
19,6626,415
20,4199,249
