week,reports_young,reports_old
1,2935,163
2,12354,277
3,46961,1118
4,38083,1982
5,19712,1651
6,12224,1272
7,10407,1184
8,10545,1178
9,10798,1253
10,10540,1336
11,10752,1206
12,9314,1127
13,7919,979
14,6990,1099
15,6720,1243
