week,reports_young,reports_old
1,5470,840
2,7853,1265
3,10190,1817
4,15883,3324
5,20544,4866
6,24715,5834
7,25108,6738
8,18856,5519
9,14694,4221
10,14620,4010
11,13933,3530
12,14027,3579
13,20261,5089
14,27958,7403
15,29787,8661
16,22645,7456
17,19968,6318
18,16137,5156
19,14253,4672
