week,reports_young,reports_old
1,161,85
2,412,358
3,1088,1297
4,1371,1782
5,1517,1929
6,1809,1651
7,1637,1441
8,1201,1129
9,724,688
10,511,474
11,393,326
12,338,225
13,451,184
14,392,110
15,391,114
16,403,80
17,234,46
18,233,44
19,186,28
