week,reports_young,reports_old
1,3710,199
2,15844,355
3,60303,1401
4,49085,2531
5,25386,2074
6,15764,1629
7,13404,1528
8,13595,1531
9,13942,1573
10,13550,1687
11,13854,1567
12,11995,1454
13,10152,1267
14,9012,1386
15,8644,1546
