week,reports_young,reports_old
1,212,141
2,578,510
3,1530,1770
4,1911,2514
5,2175,2652
6,2543,2353
7,2349,2039
8,1656,1558
9,984,915
10,718,670
11,501,437
12,475,325
13,638,263
14,573,166
15,560,159
16,513,106
17,311,64
18,305,49
19,273,45
