week,reports_young,reports_old
1,2088,113
2,8830,204
3,33378,799
4,27435,1450
5,14252,1159
6,8779,889
7,7436,902
8,7589,831
9,7616,899
10,7561,916
11,7633,852
12,6721,848
13,5649,742
14,5031,786
15,4767,842
