week,reports_young,reports_old
1,9942,1501
2,14249,2273
3,18388,3328
4,28608,6182
5,36882,8665
6,44368,10612
7,44810,11990
8,33975,9940
9,26427,7524
10,26415,7188
11,25132,6209
12,25310,6441
13,36419,9246
14,50085,13346
15,53722,15611
16,40729,13304
17,35775,11424
18,28753,9379
19,25391,8216
