week,reports_young,reports_old
1,13076,4198
2,13672,4054
3,17350,4454
4,17620,4103
5,19767,3947
6,24752,4756
7,28506,5338
8,30013,5511
9,28003,5037
10,30926,5540
11,33391,5529
12,31465,5211
13,30837,4537
14,26384,3708
15,19524,2467
16,14491,1452
17,12186,1030
18,8166,550
19,5149,323
20,3333,203
