week,week_start,reports
1,2021-06-22,228
2,2021-06-29,396
3,2021-07-06,1609
4,2021-07-13,2834
5,2021-07-20,2322
6,2021-07-27,1814
7,2021-08-03,1697
8,2021-08-10,1687
9,2021-08-17,1756
10,2021-08-24,1876
11,2021-08-31,1727
12,2021-09-07,1634
13,2021-09-14,1413
14,2021-09-21,1550
15,2021-09-28,1719
