week,week_start,reports
1,2020-09-08,1669
2,2020-09-15,2532
3,2020-09-22,3702
4,2020-09-29,6812
5,2020-10-06,9638
6,2020-10-13,11788
7,2020-10-20,13361
8,2020-10-27,11010
9,2020-11-03,8378
10,2020-11-10,8015
11,2020-11-17,6915
12,2020-11-24,7135
13,2020-12-01,10245
14,2020-12-08,14899
15,2020-12-15,17332
16,2020-12-22,14826
17,2020-12-29,12664
18,2021-01-05,10457
19,2021-01-12,9134
