week,week_start,reports
1,2020-09-08,11036
2,2020-09-15,15873
3,2020-09-22,20463
4,2020-09-29,31828
5,2020-10-06,41039
6,2020-10-13,49303
7,2020-10-20,49934
8,2020-10-27,37649
9,2020-11-03,29304
10,2020-11-10,29186
11,2020-11-17,27770
12,2020-11-24,28163
13,2020-12-01,40640
14,2020-12-08,55637
15,2020-12-15,59601
16,2020-12-22,45337
17,2020-12-29,39730
18,2021-01-05,31996
19,2021-01-12,28197
