week,week_start,reports
1,2020-02-25,334
2,2020-03-03,833
3,2020-03-10,2180
4,2020-03-17,2723
5,2020-03-24,3071
6,2020-03-31,3638
7,2020-04-07,3333
8,2020-04-14,2401
9,2020-04-21,1406
10,2020-04-28,1020
11,2020-05-05,752
12,2020-05-12,678
13,2020-05-19,903
14,2020-05-26,805
15,2020-06-02,793
16,2020-06-09,748
17,2020-06-16,440
18,2020-06-23,433
19,2020-06-30,389
