week,week_start,reports
1,2021-02-02,18689
2,2021-02-09,19601
3,2021-02-16,24821
4,2021-02-23,25151
5,2021-03-02,28163
6,2021-03-09,35302
7,2021-03-16,40819
8,2021-03-23,42838
9,2021-03-30,39917
10,2021-04-06,44149
11,2021-04-13,47881
12,2021-04-20,45123
13,2021-04-27,44156
14,2021-05-04,37751
15,2021-05-11,28004
16,2021-05-18,20638
17,2021-05-25,17410
18,2021-06-01,11666
19,2021-06-08,7351
20,2021-06-15,4721
