week,week_start,reports
1,2021-06-22,4149
2,2021-06-29,17660
3,2021-07-06,66970
4,2021-07-13,54632
5,2021-07-20,28203
6,2021-07-27,17547
7,2021-08-03,14867
8,2021-08-10,15059
9,2021-08-17,15433
10,2021-08-24,15093
11,2021-08-31,15428
12,2021-09-07,13278
13,2021-09-14,11232
14,2021-09-21,9974
15,2021-09-28,9610
