week,week_start,reports
1,2021-02-02,5999
2,2021-02-09,5747
3,2021-02-16,6358
4,2021-02-23,5864
5,2021-03-02,5637
6,2021-03-09,6782
7,2021-03-16,7616
8,2021-03-23,7868
9,2021-03-30,7176
10,2021-04-06,7930
11,2021-04-13,7930
12,2021-04-20,7402
13,2021-04-27,6475
14,2021-05-04,5265
15,2021-05-11,3544
16,2021-05-18,2054
17,2021-05-25,1462
18,2021-06-01,769
19,2021-06-08,456
20,2021-06-15,276
